collocation,mle_rank,pmi_rank,tscore_rank,dice_rank,ll_rank,rank_av,rank_nor,rank_opt
an_thần bổ_tâm,941.0,2976.0,771.0,2035.0,0.0,1680.75,1680.75,1680.75
bệnh_viện nhi_đồng,2260.0,1757.0,2250.0,1177.0,0.0,1861.0,1861.0,1861.0
dầu thực_vật,2831.0,2282.0,2825.0,2604.0,1995.0,2507.4,2126.2674434958817,2507.4
chuyên_gia tâm_thần,387.0,357.0,233.0,523.0,192.0,338.4,286.9621531781951,338.4
hơi đắng,2708.0,2483.0,2698.0,2628.0,1939.0,2491.2,2112.5298936096915,2491.2
hoạt_động tình_dục,2633.0,449.0,2632.0,1444.0,1427.0,1717.0,1456.0106885548494,1717.0
tiếng chuông,941.0,2270.0,774.0,1964.0,970.0,1383.8,1173.45811929074,1383.8
hoa bồ_công_anh,387.0,1512.0,163.0,918.0,570.0,710.0,602.0778036540146,710.0
tuyến_tiền_liệt giai_đoạn,2609.0,948.0,2600.0,1913.0,1626.0,1939.2,1644.4356011913592,1939.2
hoại_tử vô_trùng,2570.0,1884.0,2554.0,2423.0,1779.0,2242.0,1901.2090644961982,2242.0
cổ bàng_quang,3335.0,1903.0,3334.0,3074.0,2277.0,2784.6,2361.3321859929138,2784.6
ngọc trâm,1535.0,3157.0,1440.0,2904.0,1517.0,2110.6,1789.7822709748775,2110.6
tổn_thương tiền_đình,719.0,376.0,641.0,396.0,255.0,477.4,404.83372318933317,477.4
cảm_giác rỗng,1433.0,866.0,1424.0,90.0,886.0,939.8,796.947492780342,939.8
quãng đời,387.0,3453.0,8.0,3453.0,0.0,1825.25,1825.25,1825.25
sức_khoẻ chung,1658.0,536.0,1620.0,1033.0,740.0,1117.4,947.5517433845013,1117.4
chai thuỷ_tinh,3014.0,2467.0,3011.0,2897.0,2105.0,2698.8,2288.5740514104996,2698.8
cơ_quan cảm_giác,2064.0,1197.0,2039.0,1648.0,1367.0,1663.0,1410.218855600882,1663.0
đốm sáng,1832.0,160.0,1829.0,173.0,351.0,869.0,736.9093117962516,869.0
khoang niêm_mạc,2543.0,1193.0,2531.0,2016.0,1650.0,1986.6,1684.6306545620637,1986.6
kiến bò,719.0,3066.0,448.0,2119.0,0.0,1588.0,1588.0,1588.0
cơ_quan thính_giác,3265.0,2326.0,3265.0,3106.0,2255.0,2843.4,2411.1944040983453,2843.4
công_thức chung,1122.0,2289.0,1045.0,989.0,0.0,1361.25,1361.25,1361.25
xương_sống thắt_lưng,1734.0,3032.0,1671.0,2544.0,0.0,2245.25,2245.25,2245.25
lỵ trực_trùng,3125.0,2985.0,3123.0,3319.0,0.0,3138.0,3138.0,3138.0
bộ khó_khăn,1433.0,1639.0,1356.0,1144.0,1092.0,1332.8,1130.2102770564375,1332.8
thực_phẩm cay,719.0,859.0,543.0,990.0,474.0,717.0,608.0137819998992,717.0
kiểm_soát bàng_quang,2942.0,2025.0,2939.0,2433.0,2041.0,2476.0,2099.6403406300565,2476.0
khối mạc,2724.0,273.0,2724.0,753.0,1332.0,1561.2,1323.8927705135882,1561.2
số_ít chứng_cứ,719.0,2956.0,461.0,1897.0,0.0,1508.25,1508.25,1508.25
tuyến cơ_sở,719.0,1139.0,713.0,36.0,0.0,651.75,651.75,651.75
